Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
52	-	Base	1	0.00021311	0.00116594	0.000952827	-	3087.66	1169.16	0.00827189	91307	abletoconfide.baseline	GPpsy	2	GPpsy:2	0.0080945	0.0263277534128112
53	-	Base	1	0.000183815	0.00112195	0.000938134	-	2889.32	1176.95	0.0140963	91294	abletoconfide.baseline	GPpsy	3	GPpsy:3	0.0115608	0.0158998512213688
54	-	Base	1	0.00015925	0.00135274	0.00119349	-	2694.52	1178.07	0.0221887	91283	abletoconfide.baseline	GPpsy	4	GPpsy:4	0.0219505	0.00725496002368966
55	-	Base	1	8.19492e-05	0.000923272	0.000841323	-	1892	1154.59	0.101291	91208	abletoconfide.baseline	GPpsy	5	GPpsy:5	0.0103024	0.0079543795620438
56	-	Base	1	0.000296844	0.00189206	0.00159522	-	3650.23	1170.93	0.00182623	91315	abletoconfide.baseline	GPpsy	6	GPpsy:6	0.0160539	0.0184904602619924
57	-	Base	1	0.000422145	0.00113146	0.000709318	-	4340.7	1167.37	0.000200863	91268	abletoconfide.baseline	GPpsy	7	GPpsy:7	0.00888044	0.0475364959393904
58	-	Base	1	0.000649023	0.00164608	0.000997058	-	5461.03	1184.26	4.01578e-06	91211	abletoconfide.baseline	GPpsy	8	GPpsy:8	0.0156417	0.0414931241489096
59	-	Base	1	4.57167e-05	0.000953231	0.000907514	-	1401.9	1145.65	0.221085	91243	abletoconfide.baseline	GPpsy	9	GPpsy:9	0.0192771	0.00237155485005525
60	-	Base	1	8.39237e-05	0.00137381	0.00128989	-	1946.09	1173.21	0.0971713	91177	abletoconfide.baseline	GPpsy	10	GPpsy:10	0.00727672	0.0115331770358073
61	-	Base	1	0.00104096	0.0017243	0.00068334	-	9279.15	1588.9	5.26956e-09	91279	abletoconfide.baseline	MTAG.Envs	1	MTAG.Envs:1	0.015205	0.0684616902334758
62	-	Base	1	0.000609205	0.00156203	0.000952827	-	7157.28	1602.6	7.99498e-06	91307	abletoconfide.baseline	MTAG.Envs	2	MTAG.Envs:2	0.012583	0.0484149248986728
63	-	Base	1	0.00110624	0.00204438	0.000938134	-	9492.85	1575.51	1.7064e-09	91294	abletoconfide.baseline	MTAG.Envs	3	MTAG.Envs:3	0.0177308	0.0623908678683421
64	-	Base	1	0.000908218	0.0021017	0.00119349	-	8602.04	1574.25	4.68309e-08	91283	abletoconfide.baseline	MTAG.Envs	4	MTAG.Envs:4	0.0179436	0.0506151496912548
65	-	Base	1	0.000353905	0.00119523	0.000841323	-	5037.94	1479.21	0.000660437	83708	abletoconfide.baseline	MTAG.Envs	5	MTAG.Envs:5	0.0115326	0.0306873558434351
66	-	Base	1	0.00149621	0.00309143	0.00159522	-	10767	1537.49	2.55398e-12	88600	abletoconfide.baseline	MTAG.Envs	6	MTAG.Envs:6	0.0137829	0.108555528952543
67	-	Base	1	0.000654015	0.00136333	0.000709318	-	7292.46	1575.47	3.69292e-06	91268	abletoconfide.baseline	MTAG.Envs	7	MTAG.Envs:7	0.0147567	0.0443198682632296
68	-	Base	1	0.000701133	0.00169819	0.000997058	-	7566.6	1578.67	1.65008e-06	91211	abletoconfide.baseline	MTAG.Envs	8	MTAG.Envs:8	0.0170436	0.0411376117721608
69	-	Base	1	0.000572833	0.00148035	0.000907514	-	6902.33	1593.09	1.47749e-05	91243	abletoconfide.baseline	MTAG.Envs	9	MTAG.Envs:9	0.0184703	0.0310137355646633
70	-	Base	1	0.00141106	0.00270095	0.00128989	-	10597	1556.95	1.01926e-11	91177	abletoconfide.baseline	MTAG.Envs	10	MTAG.Envs:10	0.013524	0.104337474120083
71	-	Base	1	0.000171659	0.000855	0.00068334	-	3239.45	1366.57	0.0177698	91279	abletoconfide.baseline	MTAG.FamilyHistory	1	MTAG.FamilyHistory:1	0.0121645	0.0141114719059559
72	-	Base	1	7.31597e-05	0.00102599	0.000952827	-	2089.36	1350.37	0.121813	87384	abletoconfide.baseline	MTAG.FamilyHistory	2	MTAG.FamilyHistory:2	0.00692624	0.0105626862482386
73	-	Base	1	8.85786e-05	0.00102671	0.000938134	-	2325.41	1364.6	0.0883733	91294	abletoconfide.baseline	MTAG.FamilyHistory	3	MTAG.FamilyHistory:3	0.0141472	0.00626121069893689
74	-	Base	1	0.000226554	0.00142004	0.00119349	-	3711.07	1360.28	0.00637207	91283	abletoconfide.baseline	MTAG.FamilyHistory	4	MTAG.FamilyHistory:4	0.0138034	0.0164129127606242
75	-	Base	1	1.60478e-05	0.000857371	0.000841323	-	943.041	1300.52	0.46838	83708	abletoconfide.baseline	MTAG.FamilyHistory	5	MTAG.FamilyHistory:5	0.00810499	0.00197999010486133
76	-	Base	1	0.000638718	0.00223394	0.00159522	-	6250.33	1366.62	4.81256e-06	91315	abletoconfide.baseline	MTAG.FamilyHistory	6	MTAG.FamilyHistory:6	0.013897	0.0459608548607613
77	-	Base	1	9.15365e-05	0.000800855	0.000709318	-	2417.94	1396.69	0.0834274	91268	abletoconfide.baseline	MTAG.FamilyHistory	7	MTAG.FamilyHistory:7	0.00980932	0.0093315846562249
78	-	Base	1	5.71534e-05	0.00105421	0.000997058	-	1919.37	1403.03	0.171317	91211	abletoconfide.baseline	MTAG.FamilyHistory	8	MTAG.FamilyHistory:8	0.0121675	0.00469721799876721
79	-	Base	1	1.64178e-05	0.000923932	0.000907514	-	1019.89	1390.84	0.463385	91243	abletoconfide.baseline	MTAG.FamilyHistory	9	MTAG.FamilyHistory:9	0.01492	0.00110038873994638
80	-	Base	1	0.000439269	0.00172916	0.00128989	-	5021.04	1322.84	0.000147518	86865	abletoconfide.baseline	MTAG.FamilyHistory	10	MTAG.FamilyHistory:10	0.0061272	0.0716916372894634
81	-	Base	1	0.000597805	0.00128115	0.00068334	-	5282.81	1193.95	9.69116e-06	91279	abletoconfide.baseline	MTAG.All	1	MTAG.All:1	0.0221868	0.0269441740133773
82	-	Base	1	0.00042043	0.00137326	0.000952827	-	4391.83	1183.86	0.000207798	87384	abletoconfide.baseline	MTAG.All	2	MTAG.All:2	0.0137257	0.0306308603568488
83	-	Base	1	0.000754564	0.0016927	0.000938134	-	5893.88	1184.62	6.54671e-07	91294	abletoconfide.baseline	MTAG.All	3	MTAG.All:3	0.0235578	0.03203032541239
84	-	Base	1	0.000666785	0.00186027	0.00119349	-	5483.36	1171.31	2.86089e-06	91283	abletoconfide.baseline	MTAG.All	4	MTAG.All:4	0.0299152	0.0222891707225758
85	-	Base	1	0.000182299	0.00102362	0.000841323	-	2676.16	1094.91	0.0145233	83708	abletoconfide.baseline	MTAG.All	5	MTAG.All:5	0.0135967	0.0134075915479491
86	-	Base	1	0.00125507	0.00285029	0.00159522	-	7370.23	1149.24	1.44523e-10	88600	abletoconfide.baseline	MTAG.All	6	MTAG.All:6	0.0210239	0.0596972968859251
87	-	Base	1	0.00069045	0.00139977	0.000709318	-	5617.43	1181.12	1.98285e-06	91268	abletoconfide.baseline	MTAG.All	7	MTAG.All:7	0.0173754	0.0397372146828274
88	-	Base	1	0.000689281	0.00168634	0.000997058	-	5704.09	1200.28	2.01958e-06	91211	abletoconfide.baseline	MTAG.All	8	MTAG.All:8	0.0223605	0.0308258312649538
89	-	Base	1	0.00021911	0.00112662	0.000907514	-	3133.3	1169.52	0.00738484	89136	abletoconfide.baseline	MTAG.All	9	MTAG.All:9	0.0276664	0.00791971488881821
90	-	Base	1	0.000808569	0.00209846	0.00128989	-	5930.22	1151.36	2.61111e-07	86865	abletoconfide.baseline	MTAG.All	10	MTAG.All:10	0.0137294	0.0588932509796495
91	-	Base	1	0.00155241	0.00342353	0.00187112	-	-53313.5	7683.66	4.03919e-12	91279	agefirstsex.baseline	Auto-ImpOnly	1	Auto-ImpOnly:1	0.0113913	0.136280319190962
92	-	Base	1	0.000815993	0.00284542	0.00202942	-	-37557.1	7452.9	4.69957e-07	91307	agefirstsex.baseline	Auto-ImpOnly	2	Auto-ImpOnly:2	0.00707217	0.115380851987438
93	-	Base	1	0.000851414	0.00234863	0.00149722	-	-39362.7	7659.63	2.7792e-07	91294	agefirstsex.baseline	Auto-ImpOnly	3	Auto-ImpOnly:3	0.0144335	0.058988741469498
