PRSPheno	SampleSize	pheno	meanp	meanratio	sdratio	meanr2	cvr2	meanthresh	meanlogp	sdthresh	sdlogp	sdsnp	meansnp	lower	upper
20	GPpsy	DS_100K	ICD10Dep	0.00086513077	0.449537052060737	0.274921771789416	0.002593088	0.422018292785938	0.335	0.717069622716898	0.365946261993024	0.49943460525968	43634.7235786923	68737.3	-0.0893096206465188	0.988383724767993
21	GPpsy	DS_100K	ICD10Dep.exclpsych	0.00418505957668	0.493925619019427	0.356655883261173	0.002737745	0.55032665404017	0.255	0.804575749056068	0.290067042059054	0.447006769915949	37935.6899972396	60210.7	-0.205119912172473	1.19297115021133
22	GPpsy	DS_100K	income.baseline	0.01438906320661	0.102285619596482	0.0691159310463986	0.00059051325	0.458306606511659	0.26	0.782390874094432	0.294203255514883	0.422314084677208	37478.0191816187	61120	-0.0331816052544595	0.237752844447423
23	GPpsy	DS_100K	insomnia.baseline	2.554933838e-05	0.110957479798716	0.0538423804030209	0.000646571	0.207509250353624	0.4	0.71249387366083	0.430761599444003	0.589349870732843	51978.86257883	72267.9	0.00542641420879501	0.216488545388637
24	GPpsy	DS_100K	LifetimeMDD	5.33322802338445e-06	1	0	0.00699565	0.462633252644411	0.295	0.769897000433602	0.37449966622148	0.439997887718898	42069.3254427868	61831.1	1	1
25	GPpsy	DS_100K	maternalsmokingatbirth.baseline	0.0101689249	0.0912395462852473	0.060740665702434	0.0005005227	0.482306729574064	0.275	0.734678748622466	0.289875452182101	0.397370929796432	36482.6453231914	64349	-0.0278121584915232	0.210291251062018
26	GPpsy	DS_100K	mother.age	0.0877411459	0.0609119393942423	0.0436755470145578	0.00041005547	0.754195337336214	0.4001	0.852287874528034	0.43130305148726	0.916101057096962	53498.4388810656	71569.6	-0.0246921327542909	0.146516011542776
27	GPpsy	DS_100K	mother.bronchitis	0.03289151144	0.10986739400892	0.0836229618043344	0.0006955851	0.616829259296237	0.22	0.774472749489669	0.153115787704745	0.3590381455222	28964.7773192814	60723.6	-0.0540336111275751	0.273768399145416
28	GPpsy	DS_100K	mother.severedepression	0.0014868644868	0.168692644615164	0.0565088540040841	0.0011045819	0.408547238308794	0.22	0.769357497244931	0.145678489222748	0.355751999741347	28211.3990454213	61043.9	0.057935290767159	0.279449998463169
29	GPpsy	DS_100K	neuroticism.anxious	1.358463469598e-09	0.320393151451446	0.150899248882004	0.001896563	0.228910444490884	0.24	0.701772876696043	0.150554530541816	0.2853847638267	26466.9871189668	65143.6	0.0246306236427179	0.616155679260174
30	GPpsy	DS_100K	neuroticism.fedup	6.20943322773e-10	0.325100395673283	0.114494523216983	0.001990365	0.192520407379166	0.295	0.679588001734407	0.283284309484306	0.376753987701539	34835.7674045896	68648	0.100691130167996	0.54950966117857
31	GPpsy	DS_100K	neuroticism.guilt	7.868782064121e-07	0.268483539163913	0.124962064142435	0.0016336269	0.279787001807377	0.5	0.552287874528034	0.444097086482474	0.554466467125104	51028.9636471289	85299.7	0.0235578934447408	0.513409184883086
32	GPpsy	DS_100K	neuroticism.irritability	3.9271974585689e-06	0.253555933754994	0.0991355456849983	0.0016254623	0.361622207671884	0.385	0.642596873227228	0.364424965604108	0.51429435657089	45030.3019458379	76289	0.0592502642123976	0.447861603297591
33	GPpsy	DS_100K	neuroticism.loneliness	3.21607486716e-07	0.295364235357508	0.130378008564006	0.00180364	0.299170304647287	0.51	0.522184874961636	0.435124503255486	0.535298998751288	49143.6517230637	87615.3	0.0398233385720564	0.55090513214296
34	GPpsy	DS_100K	neuroticism.miserableness	9.11286882803921e-12	0.377059802885887	0.111362006228504	0.002366112	0.235290537849269	0.38	0.6	0.361478445646026	0.416113799939645	41603.7145291406	76697.2	0.158790270678019	0.595329335093756
35	GPpsy	DS_100K	neuroticism.moodswings	7.08663843853609e-12	0.43900175636036	0.141664310964575	0.002725687	0.196559634051858	0.215	0.869897000433602	0.292546292633035	0.377687023059149	35408.3074371914	52744.3	0.161339706869793	0.716663805850926
36	GPpsy	DS_100K	neuroticism.nerves	2.7473529933385e-05	0.261493243476244	0.141494239486408	0.0016155104	0.400150119629939	0.54	0.369897000433602	0.347051068928543	0.339786477069791	35435.6302961989	98932.6	-0.015835465917115	0.538821952869603
37	GPpsy	DS_100K	neuroticism.nervous	6.1254749221004e-06	0.254251224010901	0.162383478395614	0.0014530765	0.386813896283293	0.43	0.549485002168009	0.402906109823782	0.422255290778065	42913.289869094	81172.5	-0.0640203936445026	0.572522841666304
