Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
54	-	Base	1	0.000106067	0.00129955	0.00119349	-	2477.76	1327.42	0.0619675	116103	abletoconfide.baseline	GPpsy	4	GPpsy:4	0.0185382	0.00572153715031664
55	-	Base	1	0.000155947	0.000997269	0.000841323	-	2954.18	1306.81	0.0237905	116103	abletoconfide.baseline	GPpsy	5	GPpsy:5	0.00873459	0.0178539576557114
56	-	Base	1	0.00014683	0.00174205	0.00159522	-	2891.31	1318.85	0.0283645	116103	abletoconfide.baseline	GPpsy	6	GPpsy:6	0.0113631	0.0129216499018754
57	-	Base	1	0.000393399	0.00110272	0.000709318	-	4702.42	1310.06	0.000331842	116103	abletoconfide.baseline	GPpsy	7	GPpsy:7	0.00726266	0.0541673436454412
58	-	Base	1	0.000165542	0.0011626	0.000997058	-	3072.36	1319.55	0.0199001	116103	abletoconfide.baseline	GPpsy	8	GPpsy:8	0.0144098	0.0114881538952657
59	-	Base	1	9.1558e-05	0.000999072	0.000907514	-	2263.05	1306.8	0.0833276	116103	abletoconfide.baseline	GPpsy	9	GPpsy:9	0.0126278	0.00725051077780769
60	-	Base	1	1.18192e-05	0.00130171	0.00128989	-	817.044	1312.57	0.533633	116103	abletoconfide.baseline	GPpsy	10	GPpsy:10	0.00556706	0.00212305956824608
61	-	Base	1	0.000565344	0.00124868	0.00068334	-	7242.48	1683.21	1.69166e-05	116103	abletoconfide.baseline	MTAG.Envs	1	MTAG.Envs:1	0.0103528	0.054607835561394
62	-	Base	1	0.000229322	0.00118215	0.000952827	-	4642.41	1694.58	0.00615551	116103	abletoconfide.baseline	MTAG.Envs	2	MTAG.Envs:2	0.00537623	0.0426547971347952
63	-	Base	1	0.00122684	0.00216498	0.000938134	-	10624	1674.25	2.24496e-10	116103	abletoconfide.baseline	MTAG.Envs	3	MTAG.Envs:3	0.0152979	0.080196628295387
64	-	Base	1	0.000776583	0.00197007	0.00119349	-	8500.01	1682.37	4.38604e-07	116103	abletoconfide.baseline	MTAG.Envs	4	MTAG.Envs:4	0.0172472	0.045026613015446
65	-	Base	1	0.00066081	0.00150213	0.000841323	-	7293.79	1567	3.25849e-06	106880	abletoconfide.baseline	MTAG.Envs	5	MTAG.Envs:5	0.00527737	0.125215779829726
66	-	Base	1	0.000821683	0.0024169	0.00159522	-	8474.22	1633.46	2.13938e-07	112754	abletoconfide.baseline	MTAG.Envs	6	MTAG.Envs:6	0.0106388	0.0772345565289318
67	-	Base	1	0.000581547	0.00129087	0.000709318	-	7344.55	1682.75	1.27733e-05	116103	abletoconfide.baseline	MTAG.Envs	7	MTAG.Envs:7	0.0129106	0.0450441497684074
68	-	Base	1	0.000549122	0.00154618	0.000997058	-	7085.16	1670.47	2.22725e-05	116103	abletoconfide.baseline	MTAG.Envs	8	MTAG.Envs:8	0.0173059	0.031730334741331
69	-	Base	1	0.000416958	0.00132447	0.000907514	-	6286.71	1700.87	0.00021922	116103	abletoconfide.baseline	MTAG.Envs	9	MTAG.Envs:9	0.011762	0.035449583404183
